Szczecin
31834 20 1453.75 15 1 2013
28153 20 658.05 20 1 2013
14833 30 865.92 15 1 2013
07867 30 822.87 25 1 2013
05164 25 305.04 30 1 2013
Koszalin
11206 20 398.99 15 1 2013
16350 21 565.15 20 1 2013
10577 31 2031.96 15 1 2013
09699 30 980.31 25 1 2013
08774 25 1779.81 30 1 2013
Olsztyn
24041 20 407.13 15 1 2013
16350 24 565.15 20 1 2013
31834 30 1453.75 15 1 2013
14833 31 865.92 25 1 2013
24590 25 35.01 30 1 2013
Bydgoszcz
31834 22 1453.75 15 1 2013
10577 20 2031.96 20 1 2013
09699 30 980.31 15 1 2013
Torun
11206 20 398.99 15 1 2013
24041 24 407.13 20 1 2013
16350 30 565.15 15 1 2013
28153 31 658.05 25 1 2013
14833 25 865.92 30 1 2013
07867 20 822.87 15 1 2013
22293 24 35.01 20 1 2013
24590 25 35.01 30 1 2013
Warszawa
04913 20 276.75 15 1 2013
08774 24 1779.81 20 1 2013
05164 30 305.04 15 1 2013
24590 31 35.01 25 1 2013
Wroclaw
09699 20 980.31 15 1 2013
37263 24 1255.22 20 1 2013
05164 30 305.04 15 1 2013
24590 31 35.01 25 1 2013
Rzeszow
24041 20 407.13 15 1 2013
14833 24 865.92 20 1 2013
07867 30 822.87 15 1 2013
08774 31 1779.81 25 1 2013
24590 25 35.01 30 1 2013
Bielsko-Biala
11206 20 398.99 15 1 2013
16350 24 565.15 20 1 2013
08774 30 1779.81 15 1 2013
05164 31 305.04 25 1 2013
Nowy Sacz
04913 20 276.75 15 1 2013
31834 24 1453.75 20 1 2013
10577 30 2031.96 15 1 2013
28153 31 658.05 25 1 2013
22293 25 35.01 30 1 2013
